game_date,pitcher_name,best_side,line,strikeouts_projection,gap,edge_pct,odds_used,actual,won,pitcher_id,market,opening_odds,closing_odds,clv_pct
2026-06-09,Dylan Cease,under,6.5,5.966378769107853,-0.5336,9.8768,111.0,11.0,0,,,106.0,115.0,-2.03
2026-06-09,Chase Burns,under,6.5,6.401268000431931,-0.0987,8.973,115.0,7.0,0,,,,,
2026-06-09,Zac Gallen,over,4.5,4.7441388243680205,0.2441,8.9773,116.0,3.0,0,,,110.0,125.0,-3.17
2026-06-09,J.T. Ginn,over,4.5,4.777975515668123,0.278,11.266,120.0,5.0,1,,,,,
2026-06-09,Trevor Rogers,under,4.5,4.358195985375114,-0.1418,13.2052,122.0,3.0,1,,,110.0,142.0,-6.3
2026-06-09,Nathan Eovaldi,over,5.5,5.691603255531575,0.1916,13.0369,125.0,3.0,0,,,116.0,130.0,-2.82
2026-06-09,Eric Lauer,over,4.5,4.749035660423278,0.249,16.0817,130.0,5.0,1,,,126.0,,
2026-06-09,Tomoyuki Sugano,over,3.5,3.787668769548594,0.2877,19.1044,135.0,3.0,0,,,,,
2026-06-10,Ryne Nelson,over,4.5,4.505243233216035,0.0052,7.0624,116.0,2.0,0,,,-110.0,118.0,-6.51
2026-06-10,Brady Singer,over,4.5,4.680655447194937,0.1807,8.475,116.0,5.0,1,,,116.0,125.0,-1.85
2026-06-10,Shota Imanaga,over,5.5,5.520803538630247,0.0208,10.251,122.0,7.0,1,,,,,
2026-06-11,Martín Pérez,over,4.5,4.57858215446465,0.0786,9.6508,120.0,,,,,,,
2026-06-11,Mitch Keller,over,4.5,4.86763171974656,0.3676,12.993,122.0,3.0,0,,,120.0,132.0,-2.35
2026-06-11,Merrill Kelly,over,4.5,4.713357523765165,0.2134,10.748,120.0,1.0,0,,,125.0,134.0,-1.71
2026-06-12,Anthony Kay,over,4.5,4.69,0.19,19.6,138.0,7.0,1,,,138.0,,
2026-06-12,Zack Littell,over,3.5,4.12,0.62,7.1,106.0,0.0,0,,,100.0,128.0,-6.14
2026-06-12,Shane McClanahan,under,5.5,5.23,-0.27,19.1,132.0,7.0,0,,,,,
2026-06-12,Javier Assad,over,3.5,4.15,0.65,13.6,118.0,5.0,1,,,,,
2026-06-12,Sonny Gray,over,5.5,5.58,0.08,12.7,126.0,7.0,1,,,124.0,136.0,-2.27
2026-06-12,Luinder Avila,over,3.5,4.46,0.96,11.7,110.0,0.0,0,,,,,
2026-06-12,Nolan McLean,under,5.5,5.46,-0.04,10.7,119.0,6.0,0,,,118.0,104.0,3.15
2026-06-12,Shane Baz,over,5.5,5.56,0.06,8.5,118.0,1.0,0,,,118.0,138.0,-3.85
2026-06-12,Jacob Misiorowski,under,8.5,6.33,-2.17,8.1,-108.0,15.0,0,,,102.0,-110.0,2.88
